fitness,encoding
0.571875,"3,9,14,8,5,23,7,10,16,13,11,19,4,10,7"
0.5953125,"19,17,4,10,1,0,2,16,16,16,15,5,4,6,17"
0.6287946428571429,"8,7,5,3,17,5,17,18,14,13,7,7,17,0,8"
0.6287946428571429,"8,7,5,3,17,5,17,18,14,13,7,7,17,0,8"
0.6287946428571429,"8,7,5,3,17,5,17,18,14,13,7,7,17,0,8"
0.6287946428571429,"8,7,5,3,17,5,17,18,14,13,7,7,17,0,8"
0.6354910714285714,"9,6,16,9,13,15,3,11,16,7,23,5,17,18,11"
0.6354910714285714,"9,6,16,9,13,15,3,11,16,7,23,5,17,18,11"
0.6354910714285714,"9,6,16,9,13,15,3,11,16,7,23,5,17,18,11"
0.6354910714285714,"9,6,16,9,13,15,3,11,16,7,23,5,17,18,11"
0.6354910714285714,"9,6,16,9,13,15,3,11,16,7,23,5,17,18,11"
0.6354910714285714,"9,6,16,9,13,15,3,11,16,7,23,5,17,18,11"
0.6354910714285714,"9,6,16,9,13,15,3,11,16,7,23,5,17,18,11"
0.6589285714285714,"16,10,1,22,2,17,19,12,11,8,20,10,20,5,6"
0.6622767857142857,"16,10,16,9,2,17,19,12,11,8,23,10,9,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
0.6921875,"16,10,16,9,2,17,19,12,11,8,23,10,17,5,11"
