fitness,encoding
0.57875,"4,0,20,17,12,16,1,1,19,10,16,9,15,13,9"
0.6075,"16,12,4,19,9,18,19,1,19,12,6,5,10,19,18"
0.6375000000000001,"17,9,0,0,22,10,21,15,20,3,10,9,3,7,7"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70375,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5"
0.70625,"19,18,11,15,17,21,10,16,5,17,18,9,5,5,21"
0.70625,"19,18,11,15,17,21,10,16,5,17,18,9,5,5,21"
0.71,"19,18,14,15,13,10,10,16,19,11,5,17,11,5,6"
0.71,"19,18,14,15,13,10,10,16,19,11,5,17,11,5,6"
0.71,"19,18,14,15,13,10,10,16,19,11,5,17,11,5,6"
0.71,"19,18,14,15,13,10,10,16,19,11,5,17,11,5,6"
0.71,"19,18,14,15,13,10,10,16,19,11,5,17,11,5,6"
0.71,"19,18,14,15,13,10,10,16,19,11,5,17,11,5,6"
0.71,"19,18,14,15,13,10,10,16,19,11,5,17,11,5,6"
0.73,"16,5,22,4,17,17,16,6,13,14,5,19,11,11,6"
0.73,"16,5,22,4,17,17,16,6,13,14,5,19,11,11,6"
0.73,"16,5,22,4,17,17,16,6,13,14,5,19,11,11,6"
0.73,"16,5,22,4,17,17,16,6,13,14,5,19,11,11,6"
0.73,"16,5,22,4,17,17,16,6,13,14,5,19,11,11,6"
0.73,"16,5,22,4,17,17,16,6,13,14,5,19,11,11,6"
0.73,"16,5,22,4,17,17,16,6,13,14,5,19,11,11,6"
0.73,"16,5,22,4,17,17,16,6,13,14,5,19,11,11,6"
0.73,"16,5,22,4,17,17,16,6,13,14,5,19,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
0.75,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6"
