,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"13,18,17,4,18,5,4,10,18,17,1,8,0,9,20",0.594,0.96,0.6855,0.5654596100278552,0.812,0.6666666666666666,0.5940000000000001,18.242805242538452
0,"0,16,5,22,4,17,17,15,6,12,14,7,19,10,11",0.578,0.98,0.6785000000000001,0.5571847507331378,0.76,0.6429780033840947,0.5780000000000001,39.804279804229736
0,"16,5,22,4,17,17,15,6,4,14,7,19,10,11,11",0.578,0.97,0.6759999999999999,0.5623003194888179,0.704,0.6252220248667851,0.578,7.25563383102417
0,"16,5,22,4,17,17,15,6,4,14,7,19,2,11,11",0.574,0.98,0.6755,0.5594855305466238,0.696,0.6203208556149733,0.574,16.47477626800537
0,"19,16,8,5,9,11,17,14,13,6,15,3,19,18,7",0.61,0.85,0.67,0.5856697819314641,0.752,0.658493870402802,0.61,16.24000859260559
0,"17,18,18,0,4,13,12,9,13,6,17,9,8,22,10",0.606,0.84,0.6645000000000001,0.6255924170616114,0.528,0.5726681127982647,0.6060000000000001,6.2700066566467285
0,"18,4,16,13,15,15,6,12,15,18,9,9,9,23,0",0.582,0.91,0.664,0.5580736543909348,0.788,0.6533996683250415,0.5820000000000001,14.406594038009644
0,"13,18,14,15,4,13,12,15,13,16,17,9,19,10,10",0.604,0.84,0.6629999999999999,0.5783132530120482,0.768,0.6597938144329897,0.604,5.014063358306885
0,"16,5,22,4,17,17,15,6,12,14,7,19,10,11,11",0.574,0.91,0.658,0.5465994962216625,0.868,0.6707882534775889,0.5740000000000001,7.97130012512207
0,"19,16,8,0,9,10,21,15,4,3,15,3,19,18,7",0.56,0.95,0.6575,0.5789473684210527,0.44,0.5,0.56,31.260820627212524
0,"13,18,17,6,18,5,4,10,17,17,1,17,15,8,20",0.562,0.94,0.6565000000000001,0.5468277945619335,0.724,0.6230636833046471,0.562,21.388195037841797
0,"16,4,16,19,4,16,18,17,1,21,5,8,15,0,11",0.556,0.94,0.652,0.5393258426966292,0.768,0.6336633663366337,0.556,9.347636938095093
0,"4,4,0,0,18,15,6,2,7,18,9,9,12,14,0",0.572,0.88,0.6489999999999999,0.5580645161290323,0.692,0.6178571428571429,0.572,5.348447322845459
0,"4,4,0,4,18,15,6,2,7,18,9,9,12,14,0",0.572,0.88,0.6489999999999999,0.5580645161290323,0.692,0.6178571428571429,0.572,5.343693256378174
0,"17,4,18,5,4,16,18,17,1,8,5,8,15,0,11",0.562,0.88,0.6415000000000001,0.5415549597855228,0.808,0.6484751203852327,0.562,7.6337854862213135
0,"5,4,0,0,18,15,6,2,7,18,9,9,12,14,0",0.562,0.88,0.6415000000000001,0.5504885993485342,0.676,0.6068222621184919,0.562,5.257119655609131
