encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0",0.602,0.73,0.6340000000000001,0.6164383561643836,0.54,0.5756929637526652,0.6020000000000001,0.5713801383972168
"0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0",0.568,0.82,0.631,0.5745614035087719,0.524,0.5481171548117155,0.5680000000000001,0.5769140720367432
"1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1",0.568,0.82,0.631,0.5497076023391813,0.752,0.6351351351351351,0.5680000000000001,0.5758764743804932
"1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1",0.59,0.75,0.63,0.5728155339805825,0.708,0.6332737030411449,0.59,0.6027023792266846
"1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1",0.546,0.88,0.6295000000000001,0.5345345345345346,0.712,0.6106346483704974,0.546,0.5793538093566895
"0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1",0.566,0.81,0.627,0.5548172757475083,0.668,0.6061705989110708,0.5660000000000001,0.5997645854949951
"0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1",0.578,0.77,0.6260000000000001,0.5703971119133574,0.632,0.5996204933586338,0.5780000000000001,1.9163341522216797
"0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0",0.558,0.83,0.626,0.5397260273972603,0.788,0.640650406504065,0.558,0.6077625751495361
"0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1",0.584,0.75,0.6255000000000001,0.5734265734265734,0.656,0.6119402985074627,0.5840000000000001,0.564387321472168
"1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0",0.592,0.72,0.6239999999999999,0.5751633986928104,0.704,0.6330935251798561,0.592,0.5588388442993164
"0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1",0.552,0.83,0.6215,0.5355191256830601,0.784,0.6363636363636364,0.552,0.5940845012664795
"1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1",0.562,0.8,0.6215,0.5444126074498568,0.76,0.6343906510851419,0.562,0.6625113487243652
"1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1",0.562,0.8,0.6214999999999999,0.5474006116207951,0.716,0.6204506065857885,0.5619999999999999,0.6010415554046631
"0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1",0.552,0.83,0.6214999999999999,0.5408805031446541,0.688,0.6056338028169014,0.5519999999999999,0.5623111724853516
"0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0",0.554,0.82,0.6205,0.5442622950819672,0.664,0.5981981981981982,0.554,0.5684101581573486
"0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1",0.554,0.82,0.6205,0.5594713656387665,0.508,0.5324947589098532,0.554,0.5665132999420166
"0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1",0.56,0.8,0.6200000000000001,0.5572519083969466,0.584,0.5703125,0.56,0.6197402477264404
"0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0",0.57,0.77,0.62,0.5555555555555556,0.7,0.6194690265486725,0.57,0.570763349533081
"1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1",0.55,0.83,0.62,0.5329815303430079,0.808,0.6422893481717011,0.55,0.6106743812561035
"0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0",0.576,0.75,0.6195,0.5637583892617449,0.672,0.6131386861313869,0.5760000000000001,0.5793697834014893
