encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1",0.626,0.8,0.6695,0.6145454545454545,0.676,0.6438095238095238,0.626,0.6075329780578613
"0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1",0.608,0.79,0.6535,0.610655737704918,0.596,0.6032388663967612,0.608,0.5724725723266602
"0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1",0.598,0.8,0.6485000000000001,0.5830508474576271,0.688,0.6311926605504588,0.598,0.5758717060089111
"0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1",0.594,0.81,0.6480000000000001,0.5867158671586716,0.636,0.6103646833013435,0.5940000000000001,0.5828220844268799
"0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1",0.584,0.81,0.6405,0.567741935483871,0.704,0.6285714285714286,0.584,0.5996668338775635
"0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1",0.59,0.79,0.6400000000000001,0.5812274368231047,0.644,0.6110056925996205,0.5900000000000001,0.6095659732818604
"0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0",0.582,0.78,0.6315,0.5672131147540984,0.692,0.6234234234234234,0.582,0.5644638538360596
"0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0",0.568,0.82,0.631,0.5745614035087719,0.524,0.5481171548117155,0.5680000000000001,0.5565676689147949
"1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1",0.568,0.82,0.631,0.5497076023391813,0.752,0.6351351351351351,0.5680000000000001,0.606903076171875
"0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1",0.58,0.78,0.6300000000000001,0.5714285714285714,0.64,0.6037735849056604,0.5800000000000001,0.5617256164550781
"1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1",0.59,0.75,0.63,0.5728155339805825,0.708,0.6332737030411449,0.59,0.6070349216461182
"0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1",0.586,0.76,0.6295000000000001,0.5719063545150501,0.684,0.6229508196721312,0.5860000000000001,0.5714552402496338
"0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1",0.568,0.81,0.6285000000000001,0.5586206896551724,0.648,0.6,0.5680000000000001,0.6008598804473877
