encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"18,8,20,5,5,12,19,0,1,14,6,4,6,7,8",0.575,0.65,0.59375,0.6363636363636364,0.35,0.45161290322580644,0.575,0.7569429874420166
"16,3,6,12,10,20,12,14,12,15,20,11,2,4,23",0.52,0.81,0.5925,0.524390243902439,0.43,0.4725274725274725,0.52,0.7192070484161377
"10,13,5,20,3,2,4,3,5,17,5,16,16,10,4",0.61,0.54,0.5925,0.5705128205128205,0.89,0.6953125,0.61,0.6953999996185303
"14,20,16,15,11,14,16,7,15,1,13,4,10,23,8",0.58,0.63,0.5925,0.5740740740740741,0.62,0.5961538461538461,0.5800000000000001,0.7424719333648682
"6,19,10,6,8,22,12,21,8,10,10,8,10,22,0",0.535,0.76,0.59125,0.5284552845528455,0.65,0.5829596412556054,0.535,0.801145076751709
"6,11,17,13,8,7,3,22,15,13,11,16,0,9,18",0.605,0.55,0.59125,0.574468085106383,0.81,0.6721991701244814,0.605,0.7238063812255859
"14,17,13,15,11,12,14,6,19,10,11,11,11,20,4",0.535,0.76,0.5912499999999999,0.5267175572519084,0.69,0.5974025974025974,0.5349999999999999,0.7380354404449463
"16,14,5,15,6,11,14,7,13,15,1,16,4,10,23",0.55,0.71,0.5900000000000001,0.65625,0.21,0.3181818181818182,0.55,0.7616784572601318
"4,17,10,0,6,12,14,7,19,10,11,11,11,20,0",0.51,0.83,0.5900000000000001,0.53125,0.17,0.25757575757575757,0.51,0.7725989818572998
"12,21,17,0,0,17,15,2,13,13,21,16,23,12,6",0.54,0.74,0.5900000000000001,0.5238095238095238,0.88,0.6567164179104478,0.54,0.8574767112731934
"0,8,14,1,1,14,19,8,10,1,7,7,11,15,8",0.595,0.57,0.58875,0.5693430656934306,0.78,0.6582278481012658,0.595,0.7558348178863525
"19,14,11,7,4,15,4,23,8,19,8,8,18,9,2",0.585,0.6,0.58875,0.7741935483870968,0.24,0.366412213740458,0.585,0.8572771549224854
"5,12,1,11,23,13,23,7,19,13,1,7,15,10,16",0.595,0.57,0.58875,0.6,0.57,0.5846153846153846,0.595,0.7647802829742432
"12,17,17,15,17,12,14,15,19,10,4,11,11,20,0",0.495,0.87,0.58875,0.49586776859504134,0.6,0.5429864253393665,0.495,0.9112036228179932
"21,16,4,2,2,20,8,5,6,0,16,15,12,3,10",0.535,0.75,0.58875,0.528,0.66,0.5866666666666667,0.535,0.8989725112915039
"9,2,22,12,7,7,17,7,16,1,11,11,15,19,12",0.58,0.61,0.5875000000000001,0.5666666666666667,0.68,0.6181818181818182,0.5800000000000001,0.7924370765686035
"14,10,16,22,13,18,15,6,6,0,14,20,13,8,5",0.52,0.79,0.5875,0.5135135135135135,0.76,0.6129032258064516,0.52,0.7086513042449951
"4,17,17,15,6,12,14,1,19,10,17,11,11,20,2",0.52,0.79,0.5875,0.5476190476190477,0.23,0.323943661971831,0.52,0.9914863109588623
"4,17,18,15,6,12,14,7,19,10,11,11,11,22,0",0.51,0.82,0.5875,0.5057471264367817,0.88,0.6423357664233577,0.51,0.9148035049438477
"19,10,16,15,13,18,16,6,17,21,12,20,11,8,5",0.525,0.77,0.58625,0.5129533678756477,0.99,0.6757679180887372,0.525,1.063044786453247
"4,15,19,1,19,15,21,15,13,9,17,6,19,10,6",0.585,0.59,0.5862499999999999,0.5594405594405595,0.8,0.6584362139917695,0.585,3.0535833835601807
"16,16,5,22,4,17,17,15,6,12,14,7,19,10,11",0.555,0.68,0.5862499999999999,0.5733333333333334,0.43,0.49142857142857144,0.555,0.8957302570343018
"12,16,20,8,0,17,15,2,13,13,5,13,23,12,6",0.565,0.65,0.5862499999999999,0.549618320610687,0.72,0.6233766233766234,0.565,0.806835412979126
"2,6,14,9,8,4,3,2,11,12,12,15,8,9,4",0.57,0.63,0.5850000000000001,0.6166666666666667,0.37,0.4625,0.5700000000000001,0.7655701637268066
"5,18,18,8,4,6,5,13,8,17,17,9,6,8,7",0.52,0.78,0.585,0.5232558139534884,0.45,0.4838709677419355,0.52,1.1873164176940918
"13,13,10,5,10,19,0,2,18,16,8,6,7,21,5",0.5,0.84,0.585,0.5,0.66,0.5689655172413793,0.5,1.690131425857544
"16,21,5,14,0,2,4,14,5,17,18,16,16,2,4",0.52,0.78,0.585,0.5128205128205128,0.8,0.625,0.52,0.9844813346862793
"16,13,5,0,0,17,15,2,13,13,5,16,23,12,6",0.52,0.78,0.585,0.5256410256410257,0.41,0.4606741573033708,0.52,0.685765266418457
"18,8,13,10,2,20,14,0,14,6,0,5,10,0,0",0.54,0.72,0.585,0.53125,0.68,0.5964912280701754,0.54,0.7339174747467041
"13,15,4,2,4,23,15,3,6,21,14,8,13,21,10",0.535,0.73,0.58375,0.5432098765432098,0.44,0.4861878453038674,0.535,0.7172155380249023
"4,17,12,5,6,12,14,7,19,10,11,11,11,20,0",0.525,0.76,0.58375,0.6,0.15,0.24,0.525,0.87192702293396
"4,16,17,0,0,17,15,22,13,13,5,11,4,16,6",0.48,0.89,0.5825,0.46774193548387094,0.29,0.35802469135802467,0.48,0.8809034824371338
"10,18,13,18,15,3,3,11,9,8,2,18,19,8,10",0.59,0.56,0.5825,0.5661764705882353,0.77,0.652542372881356,0.59,1.5862452983856201
"8,5,6,0,16,15,12,3,10,19,15,0,13,0,9",0.545,0.69,0.58125,0.5789473684210527,0.33,0.42038216560509556,0.545,0.7393703460693359
"16,17,5,15,0,12,14,7,13,10,11,16,4,16,0",0.575,0.6,0.5812499999999999,0.631578947368421,0.36,0.4585987261146497,0.575,0.7133960723876953
"21,7,17,18,5,6,9,23,13,23,15,0,7,19,8",0.57,0.61,0.5800000000000001,0.6346153846153846,0.33,0.4342105263157895,0.5700000000000001,0.8629555702209473
"10,14,18,5,9,10,7,9,8,3,12,15,18,17,12",0.57,0.61,0.58,0.553030303030303,0.73,0.6293103448275862,0.57,0.8405652046203613
"12,14,18,11,15,11,14,16,7,15,1,13,4,10,23",0.575,0.59,0.5787500000000001,0.5510204081632653,0.81,0.6558704453441295,0.5750000000000001,0.7590885162353516
"14,12,16,14,14,2,13,3,4,22,15,4,13,18,4",0.545,0.68,0.5787500000000001,0.5542168674698795,0.46,0.5027322404371585,0.545,0.6857295036315918
"17,9,0,0,22,10,21,15,20,3,10,9,3,7,7",0.535,0.71,0.5787499999999999,0.5315315315315315,0.59,0.5592417061611374,0.5349999999999999,0.7937452793121338
"2,17,5,11,9,10,14,23,1,5,15,6,4,16,17",0.57,0.6,0.5775000000000001,0.5777777777777777,0.52,0.5473684210526316,0.5700000000000001,0.7417623996734619
"5,9,1,2,8,1,21,7,17,7,9,10,13,3,1",0.6,0.51,0.5775000000000001,0.5714285714285714,0.8,0.6666666666666666,0.6000000000000001,0.6325666904449463
"0,18,2,14,5,6,16,13,21,8,12,10,22,17,12",0.49,0.84,0.5775,0.49038461538461536,0.51,0.5,0.49,0.7716455459594727
"6,17,13,2,2,13,14,6,19,6,12,7,18,7,4",0.53,0.72,0.5775,0.5714285714285714,0.24,0.3380281690140845,0.53,0.662818431854248
"16,21,5,14,0,2,4,14,10,17,18,16,16,2,4",0.53,0.72,0.5775,0.5234375,0.67,0.5877192982456141,0.53,1.0760622024536133
"19,13,3,21,13,18,14,15,4,13,12,9,2,6,17",0.53,0.72,0.5775,0.625,0.15,0.24193548387096775,0.53,0.8762094974517822
"10,15,11,23,5,5,3,10,14,12,9,5,2,13,11",0.57,0.6,0.5775,0.559322033898305,0.66,0.6055045871559633,0.5700000000000001,0.6712939739227295
"5,10,15,11,23,5,5,3,10,14,12,9,5,2,13",0.59,0.54,0.5775,0.5523255813953488,0.95,0.6985294117647058,0.59,0.655703067779541
"4,11,3,9,12,19,16,15,5,23,12,13,14,10,2",0.56,0.63,0.5775,0.5441176470588235,0.74,0.6271186440677966,0.56,0.9172241687774658
"17,21,6,1,4,16,1,3,15,5,14,3,0,19,10",0.6,0.51,0.5774999999999999,0.5833333333333334,0.7,0.6363636363636364,0.6,1.2504539489746094
"8,7,9,9,8,2,14,12,16,14,14,2,13,3,4",0.66,0.33,0.5774999999999999,0.6702127659574468,0.63,0.6494845360824743,0.6599999999999999,0.7064471244812012
"19,10,0,6,22,9,19,1,0,13,11,4,10,14,3",0.525,0.73,0.57625,0.543859649122807,0.31,0.39490445859872614,0.525,0.8876783847808838
"6,17,13,2,2,13,14,2,19,6,12,7,18,7,4",0.535,0.7,0.5762499999999999,0.6,0.21,0.3111111111111111,0.535,0.7676267623901367
"18,6,5,7,0,12,3,11,13,15,11,10,9,4,17",0.535,0.7,0.5762499999999999,0.5212121212121212,0.86,0.6490566037735849,0.535,0.6966381072998047
"5,14,12,19,6,17,9,19,12,12,15,11,13,18,15",0.55,0.65,0.5750000000000001,0.5268817204301075,0.98,0.6853146853146853,0.55,1.1412863731384277
"8,2,19,17,6,8,9,15,15,17,20,10,11,13,17",0.61,0.47,0.5750000000000001,0.5901639344262295,0.72,0.6486486486486487,0.61,1.0734708309173584
"19,9,1,4,17,10,17,19,0,2,16,6,4,9,21",0.54,0.68,0.575,0.5952380952380952,0.25,0.352112676056338,0.54,1.4588267803192139
"19,5,16,22,13,18,16,6,17,21,12,20,14,9,5",0.485,0.84,0.57375,0.49032258064516127,0.76,0.596078431372549,0.485,1.1880877017974854
"19,1,19,15,21,15,13,9,17,6,19,10,6,8,22",0.535,0.69,0.57375,0.5222929936305732,0.82,0.6381322957198443,0.5349999999999999,3.2728819847106934
"12,15,20,16,15,11,14,16,7,15,14,13,4,10,23",0.555,0.63,0.57375,0.5533980582524272,0.57,0.5615763546798029,0.5549999999999999,1.010939121246338
"5,11,10,10,4,16,9,11,3,5,10,19,1,14,6",0.555,0.63,0.57375,0.5329341317365269,0.89,0.6666666666666666,0.555,0.9182732105255127
"13,9,4,0,22,10,21,15,20,3,10,9,3,7,7",0.525,0.72,0.57375,0.514792899408284,0.87,0.6468401486988847,0.525,0.7124626636505127
"6,10,23,13,17,11,12,6,3,3,8,2,13,11,3",0.55,0.64,0.5725,0.5357142857142857,0.75,0.625,0.55,0.685906171798706
"9,12,10,11,23,13,23,7,13,13,1,11,15,10,16",0.57,0.58,0.5725,0.5583333333333333,0.67,0.6090909090909091,0.5700000000000001,0.7355458736419678
"19,11,16,22,13,18,16,6,17,21,11,20,11,8,5",0.48,0.85,0.5725,0.4824561403508772,0.55,0.514018691588785,0.48,0.9453153610229492
"15,8,10,10,7,0,23,11,8,19,12,5,16,7,23",0.54,0.67,0.5725,0.5869565217391305,0.27,0.3698630136986301,0.54,0.8513898849487305
"10,14,5,20,3,11,14,3,7,15,1,13,4,10,23",0.555,0.62,0.57125,0.7037037037037037,0.19,0.2992125984251969,0.555,0.7061648368835449
"13,5,6,6,8,9,0,17,5,18,14,3,18,8,20",0.555,0.62,0.57125,0.5555555555555556,0.55,0.5527638190954773,0.555,0.835106372833252
"13,18,15,11,6,17,10,12,11,11,17,22,16,12,18",0.475,0.86,0.57125,0.47863247863247865,0.56,0.5161290322580645,0.47500000000000003,0.7737135887145996
"22,17,17,5,14,12,14,5,19,2,11,11,11,6,2",0.53,0.69,0.5700000000000001,1.0,0.06,0.11320754716981132,0.53,0.925966739654541
"15,14,14,4,6,14,11,16,4,23,5,13,0,3,13",0.49,0.81,0.5700000000000001,0.48936170212765956,0.46,0.4742268041237113,0.49,0.6835522651672363
"10,16,5,23,6,11,10,20,6,12,4,23,10,14,9",0.51,0.75,0.5700000000000001,0.5086206896551724,0.59,0.5462962962962963,0.51,0.7122018337249756
"17,15,2,16,13,5,1,23,12,6,3,1,11,22,5",0.58,0.54,0.5700000000000001,0.6333333333333333,0.38,0.475,0.5800000000000001,0.7558474540710449
"22,14,5,18,3,3,15,16,11,11,14,17,19,6,4",0.525,0.7,0.5687500000000001,0.8571428571428571,0.06,0.11214953271028037,0.525,1.1969168186187744
"15,1,5,11,10,10,4,16,9,11,3,5,10,19,1",0.575,0.55,0.56875,0.5652173913043478,0.65,0.6046511627906976,0.575,0.8113934993743896
"16,13,2,18,15,15,5,18,18,8,4,6,5,13,8",0.5,0.77,0.5675,0.5,0.65,0.5652173913043478,0.5,1.2465965747833252
"10,4,16,9,11,3,5,10,19,1,14,6,12,7,23",0.54,0.65,0.5675,0.5425531914893617,0.51,0.5257731958762887,0.54,0.8679854869842529
"16,15,5,0,0,17,15,2,13,13,14,16,23,12,6",0.525,0.69,0.56625,0.5157232704402516,0.82,0.6332046332046332,0.525,0.7234442234039307
"14,19,13,0,6,22,9,19,1,0,13,11,4,10,14",0.525,0.69,0.56625,0.5454545454545454,0.3,0.3870967741935484,0.525,0.8311359882354736
"7,4,9,17,3,5,1,18,13,1,8,23,11,9,9",0.545,0.63,0.5662499999999999,0.6,0.27,0.3724137931034483,0.5449999999999999,0.9203221797943115
