fitness,encoding
0.6115,"5,19,14,3,12,12,2,12,16,19,19,3,11,3,18"
0.6115,"5,19,14,3,12,12,2,12,16,19,19,3,11,3,18"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6395,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,0"
0.6445,"15,21,17,4,18,5,4,2,18,17,1,8,11,12,20"
0.647,"13,15,17,4,18,11,19,2,17,5,17,17,15,8,3"
0.647,"13,15,17,4,18,11,19,2,17,5,17,17,15,8,3"
0.6585000000000001,"17,18,0,4,18,5,4,10,18,17,1,8,0,9,20"
0.6625,"13,18,17,4,18,5,4,10,17,17,1,17,15,8,20"
0.6625,"13,18,17,4,18,5,4,10,17,17,1,17,15,8,20"
0.6625,"13,18,17,4,18,5,4,10,17,17,1,17,15,8,20"
0.6625,"13,18,17,4,18,5,4,10,17,17,1,17,15,8,20"
0.6655,"13,18,17,6,18,5,4,10,17,17,1,17,15,8,20"
0.6655,"13,18,17,6,18,5,4,10,17,17,1,17,15,8,20"
0.6655,"13,18,17,6,18,5,4,10,17,17,1,17,15,8,20"
0.6655,"13,18,17,6,18,5,4,10,17,17,1,17,15,8,20"
0.6655,"13,18,17,6,18,5,4,10,17,17,1,17,15,8,20"
0.6655,"13,18,17,6,18,5,4,10,17,17,1,17,15,8,20"
0.678,"19,15,5,6,6,8,9,10,18,5,18,14,15,8,8"
0.6819999999999999,"17,15,0,4,18,5,4,10,18,17,10,8,0,9,20"
0.6819999999999999,"17,15,0,4,18,5,4,10,18,17,10,8,0,9,20"
0.6819999999999999,"17,15,0,4,18,5,4,10,18,17,10,8,0,9,20"
0.6819999999999999,"17,15,0,4,18,5,4,10,18,17,10,8,0,9,20"
0.6819999999999999,"17,15,0,4,18,5,4,10,18,17,10,8,0,9,20"
0.6819999999999999,"17,15,0,4,18,5,4,10,18,17,10,8,0,9,20"
0.6819999999999999,"17,15,0,4,18,5,4,10,18,17,10,8,0,9,20"
0.6819999999999999,"17,15,0,4,18,5,4,10,18,17,10,8,0,9,20"
0.6819999999999999,"17,15,0,4,18,5,4,10,18,17,10,8,0,9,20"
0.701,"17,15,0,6,6,8,9,10,17,5,18,14,15,8,8"
0.701,"17,15,0,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
0.7104999999999999,"17,15,5,6,6,8,9,10,17,5,18,14,15,8,8"
