fitness,encoding
0.6100000000000001,"0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0"
0.6100000000000001,"0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0"
0.6385000000000001,"0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0"
0.6385000000000001,"0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0"
0.641,"0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0"
0.641,"0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0"
0.641,"0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0"
0.65,"0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0"
0.65,"0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0"
0.6664999999999999,"0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1"
0.6664999999999999,"0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.6735,"0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
0.676,"0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0"
