models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"1,5,6,7,9",0.72,0.82,0.6864406779661016,0.81,0.7431192660550459,0.72
"2,3,4,6,9",0.72,0.775,0.6864406779661016,0.81,0.7431192660550459,0.72
"2,4,6,7,8",0.72,0.81,0.6746031746031746,0.85,0.7522123893805309,0.72
"2,4,7,8,9",0.72,0.76,0.6774193548387096,0.84,0.75,0.72
"0,1,2,4,9",0.715,0.81,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"0,1,4,5,6",0.715,0.835,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"0,2,3,4,5",0.715,0.81,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"0,2,3,6,9",0.715,0.825,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"0,3,5,6,7",0.715,0.81,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"0,3,5,6,8",0.715,0.805,0.6837606837606838,0.8,0.7373271889400922,0.7150000000000001
"0,3,5,6,9",0.715,0.785,0.6837606837606838,0.8,0.7373271889400922,0.7150000000000001
"0,4,5,6,9",0.715,0.77,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"1,2,3,4,8",0.715,0.805,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"1,2,3,5,6",0.715,0.825,0.6972477064220184,0.76,0.7272727272727273,0.7150000000000001
"1,2,3,7,8",0.715,0.795,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"1,2,3,8,9",0.715,0.8,0.6837606837606838,0.8,0.7373271889400922,0.7150000000000001
"1,2,4,5,6",0.715,0.825,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"1,2,5,6,7",0.715,0.82,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"1,4,5,6,9",0.715,0.795,0.6837606837606838,0.8,0.7373271889400922,0.7150000000000001
"1,5,6,8,9",0.715,0.795,0.6837606837606838,0.8,0.7373271889400922,0.7150000000000001
"2,3,4,5,6",0.715,0.795,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"2,3,4,5,9",0.715,0.77,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"2,3,5,6,9",0.715,0.8,0.6869565217391305,0.79,0.7348837209302326,0.7150000000000001
"2,4,5,6,8",0.715,0.81,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"2,4,5,6,9",0.715,0.78,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"2,5,6,8,9",0.715,0.8,0.680672268907563,0.81,0.7397260273972602,0.7150000000000001
"0,1,2,4,6",0.715,0.855,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,1,2,4,8",0.715,0.835,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,1,2,5,9",0.715,0.83,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,1,2,7,9",0.715,0.815,0.6747967479674797,0.83,0.7443946188340808,0.715
"0,1,3,6,8",0.715,0.825,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,1,3,7,8",0.715,0.815,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,2,4,5,8",0.715,0.815,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,2,4,5,9",0.715,0.775,0.6747967479674797,0.83,0.7443946188340808,0.715
"0,2,4,6,9",0.715,0.785,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,2,5,7,9",0.715,0.795,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,2,5,8,9",0.715,0.8,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,4,5,7,9",0.715,0.765,0.6747967479674797,0.83,0.7443946188340808,0.715
"0,5,7,8,9",0.715,0.775,0.6776859504132231,0.82,0.7420814479638009,0.715
"1,2,4,5,9",0.715,0.785,0.6776859504132231,0.82,0.7420814479638009,0.715
"1,2,4,7,9",0.715,0.785,0.6747967479674797,0.83,0.7443946188340808,0.715
"1,2,4,8,9",0.715,0.785,0.672,0.84,0.7466666666666667,0.715
"1,4,5,7,9",0.715,0.765,0.6747967479674797,0.83,0.7443946188340808,0.715
"1,4,5,8,9",0.715,0.78,0.6747967479674797,0.83,0.7443946188340808,0.715
"1,4,6,7,8",0.715,0.815,0.6747967479674797,0.83,0.7443946188340808,0.715
"2,3,6,7,9",0.715,0.795,0.6776859504132231,0.82,0.7420814479638009,0.715
"2,4,5,6,7",0.715,0.825,0.6747967479674797,0.83,0.7443946188340808,0.715
"2,4,6,7,9",0.715,0.78,0.6747967479674797,0.83,0.7443946188340808,0.715
"2,5,6,7,9",0.715,0.815,0.6776859504132231,0.82,0.7420814479638009,0.715
"2,6,7,8,9",0.715,0.81,0.6776859504132231,0.82,0.7420814479638009,0.715
"0,1,2,3,5",0.71,0.84,0.6909090909090909,0.76,0.7238095238095238,0.71
"0,1,2,4,5",0.71,0.85,0.6779661016949152,0.8,0.7339449541284404,0.71
"0,1,2,4,7",0.71,0.82,0.675,0.81,0.7363636363636363,0.71
"0,1,2,7,8",0.71,0.83,0.6693548387096774,0.83,0.7410714285714286,0.71
"0,1,3,5,7",0.71,0.83,0.6810344827586207,0.79,0.7314814814814815,0.71
"0,1,3,8,9",0.71,0.795,0.675,0.81,0.7363636363636363,0.71
"0,1,4,5,7",0.71,0.805,0.675,0.81,0.7363636363636363,0.71
"0,1,4,6,8",0.71,0.825,0.6721311475409836,0.82,0.7387387387387387,0.71
"0,1,5,8,9",0.71,0.805,0.6721311475409836,0.82,0.7387387387387387,0.71
"0,1,7,8,9",0.71,0.79,0.6693548387096774,0.83,0.7410714285714286,0.71
"0,2,3,4,6",0.71,0.825,0.675,0.81,0.7363636363636363,0.71
"0,2,4,5,7",0.71,0.81,0.6721311475409836,0.82,0.7387387387387387,0.71
"0,2,4,7,8",0.71,0.805,0.6666666666666666,0.84,0.7433628318584071,0.71
"0,2,4,7,9",0.71,0.775,0.6693548387096774,0.83,0.7410714285714286,0.71
"0,2,4,8,9",0.71,0.78,0.6666666666666666,0.84,0.7433628318584071,0.71
"0,2,6,8,9",0.71,0.815,0.675,0.81,0.7363636363636363,0.71
"0,2,7,8,9",0.71,0.79,0.6693548387096774,0.83,0.7410714285714286,0.71
"0,4,5,8,9",0.71,0.765,0.6693548387096774,0.83,0.7410714285714286,0.71
"0,4,6,7,8",0.71,0.79,0.6693548387096774,0.83,0.7410714285714286,0.71
"0,4,6,7,9",0.71,0.785,0.6721311475409836,0.82,0.7387387387387387,0.71
