encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0",0.555,0.7,0.59125,0.7037037037037037,0.19,0.2992125984251969,0.555,0.5802855491638184
"1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0",0.555,0.7,0.59125,0.7037037037037037,0.19,0.2992125984251969,0.555,0.5618419647216797
"1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0",0.555,0.7,0.59125,0.7037037037037037,0.19,0.2992125984251969,0.555,0.5838222503662109
"1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0",0.555,0.7,0.59125,0.6896551724137931,0.2,0.31007751937984496,0.555,0.6004624366760254
"1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1",0.545,0.73,0.59125,0.6216216216216216,0.23,0.3357664233576642,0.545,0.5950009822845459
"1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0",0.555,0.7,0.59125,0.7037037037037037,0.19,0.2992125984251969,0.555,0.6121518611907959
"1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0",0.555,0.7,0.59125,0.7037037037037037,0.19,0.2992125984251969,0.555,0.5765790939331055
"1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0",0.555,0.7,0.59125,0.7037037037037037,0.19,0.2992125984251969,0.555,0.61012864112854
"1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0",0.555,0.7,0.59125,0.7037037037037037,0.19,0.2992125984251969,0.555,0.5635132789611816
"0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0",0.565,0.67,0.5912499999999999,0.5970149253731343,0.4,0.47904191616766467,0.565,0.5608775615692139
"0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0",0.575,0.64,0.5912499999999999,0.5517241379310345,0.8,0.6530612244897959,0.575,0.6049280166625977
"0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0",0.575,0.64,0.5912499999999999,0.5675675675675675,0.63,0.5971563981042654,0.575,0.5734949111938477
