precision,recall,f1-score,accuracy,auc,features,training time (s)
0.5362318840579711,0.444,0.4857768052516412,0.53,0.53,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 8, 1]",524.0450022220612
0.5157232704402516,0.984,0.6767537826685008,0.53,0.53,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [4, 16, 32, 1]",524.0450022220612
0.5178571428571429,0.812,0.632398753894081,0.528,0.528,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [128, 1]",524.0450022220612
0.5173501577287066,0.656,0.5784832451499118,0.522,0.522,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [16, 32, 1]",524.0450022220612
0.5130890052356021,0.784,0.620253164556962,0.52,0.52,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [4, 4, 64, 1]",524.0450022220612
0.5121359223300971,0.844,0.6374622356495468,0.52,0.52,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [64, 64, 64, 1]",524.0450022220612
0.5116822429906542,0.876,0.6460176991150443,0.52,0.52,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [64, 128, 1]",524.0450022220612
0.5215311004784688,0.436,0.4749455337690632,0.518,0.518,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [4, 128, 1]",524.0450022220612
0.512,0.768,0.6144000000000001,0.518,0.518,"MLP with solver lbfgs,                     activation tanh in hidden layers and                     architecture [8, 32, 64, 1]",524.0450022220612
0.5196078431372549,0.424,0.46696035242290745,0.516,0.516,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [128, 128, 1]",524.0450022220612
0.5106951871657754,0.764,0.6121794871794872,0.516,0.516,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [128, 128, 128, 1]",524.0450022220612
0.5083532219570406,0.852,0.6367713004484304,0.514,0.514,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [32, 1]",524.0450022220612
0.5089974293059126,0.792,0.6197183098591549,0.514,0.514,"MLP with solver sgd,                     activation tanh in hidden layers and                     architecture [8, 64, 64, 1]",524.0450022220612
0.505720823798627,0.884,0.6433770014556041,0.51,0.51,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 128, 128, 1]",524.0450022220612
0.5112107623318386,0.456,0.4820295983086681,0.51,0.51,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [8, 32, 128, 1]",524.0450022220612
0.5040322580645161,1.0,0.6702412868632708,0.508,0.508,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [8, 32, 32, 1]",524.0450022220612
0.5040322580645161,1.0,0.6702412868632708,0.508,0.508,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 32, 64, 1]",524.0450022220612
0.5032119914346895,0.94,0.6555090655509066,0.506,0.506,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [8, 128, 128, 1]",524.0450022220612
0.5039787798408488,0.76,0.6060606060606061,0.506,0.506,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [32, 1]",524.0450022220612
0.5020161290322581,0.996,0.6675603217158178,0.504,0.504,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [4, 4, 64, 1]",524.0450022220612
0.6666666666666666,0.008,0.015810276679841896,0.502,0.502,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 16, 32, 1]",524.0450022220612
0.5015197568389058,0.66,0.5699481865284974,0.502,0.502,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [64, 128, 128, 1]",524.0450022220612
0.5012919896640827,0.776,0.6091051805337521,0.502,0.502,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [64, 64, 1]",524.0450022220612
0.5010183299389002,0.984,0.6639676113360323,0.502,0.502,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 32, 128, 1]",524.0450022220612
0.501002004008016,1.0,0.6675567423230975,0.502,0.502,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [8, 16, 64, 1]",524.0450022220612
0.5013123359580053,0.764,0.6053882725832014,0.502,0.502,"MLP with solver lbfgs,                     activation logistic in hidden layers and                     architecture [16, 64, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [8, 16, 32, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation logistic in hidden layers and                     architecture [128, 128, 128, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [8, 16, 16, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [8, 16, 16, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [128, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [4, 16, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [8, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [128, 128, 128, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [128, 128, 128, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [8, 8, 128, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [8, 16, 32, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation logistic in hidden layers and                     architecture [8, 16, 32, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [128, 128, 128, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [16, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [16, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation logistic in hidden layers and                     architecture [8, 8, 128, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver sgd,                     activation logistic in hidden layers and                     architecture [16, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation logistic in hidden layers and                     architecture [8, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver sgd,                     activation tanh in hidden layers and                     architecture [128, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation tanh in hidden layers and                     architecture [64, 64, 64, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation logistic in hidden layers and                     architecture [8, 16, 16, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [8, 16, 16, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver sgd,                     activation tanh in hidden layers and                     architecture [4, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver adam,                     activation logistic in hidden layers and                     architecture [4, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation relu in hidden layers and                     architecture [64, 128, 128, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver lbfgs,                     activation relu in hidden layers and                     architecture [64, 128, 128, 1]",524.0450022220612
0.0,0.0,0.0,0.5,0.5,"MLP with solver sgd,                     activation identity in hidden layers and                     architecture [8, 16, 32, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver adam,                     activation relu in hidden layers and                     architecture [64, 1]",524.0450022220612
0.5,1.0,0.6666666666666666,0.5,0.5,"MLP with solver sgd,                     activation logistic in hidden layers and                     architecture [64, 1]",524.0450022220612
