fitness,encoding
0.6925000000000001,"0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0"
0.70375,"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1"
0.70375,"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1"
0.70375,"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1"
0.70375,"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1"
0.70375,"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1"
0.70375,"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1"
0.70375,"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1"
0.70375,"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.7075,"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
0.71375,"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1"
