encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0",0.69,0.785,0.7137499999999999,0.7111111111111111,0.64,0.6736842105263158,0.69,0.9676508903503418
"0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1",0.685,0.775,0.7075,0.6728971962616822,0.72,0.6956521739130435,0.685,1.0511960983276367
"1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0",0.7,0.725,0.7062499999999999,0.6754385964912281,0.77,0.719626168224299,0.7,0.9910204410552979
"0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1",0.695,0.73,0.70375,0.7241379310344828,0.63,0.6737967914438503,0.6950000000000001,1.0099289417266846
"1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1",0.7,0.715,0.7037499999999999,0.7325581395348837,0.63,0.6774193548387096,0.7,0.9994862079620361
"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0",0.7,0.71,0.7024999999999999,0.6694915254237288,0.79,0.7247706422018348,0.7,0.9825553894042969
"1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1",0.685,0.75,0.70125,0.6831683168316832,0.69,0.6865671641791045,0.685,0.9653451442718506
"0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1",0.69,0.735,0.7012499999999999,0.6666666666666666,0.76,0.7102803738317757,0.69,1.0665411949157715
"0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1",0.695,0.715,0.7,0.6666666666666666,0.78,0.7188940092165899,0.6950000000000001,0.9995908737182617
"0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1",0.68,0.755,0.69875,0.6956521739130435,0.64,0.6666666666666666,0.6799999999999999,0.9439141750335693
"1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0",0.68,0.755,0.69875,0.6875,0.66,0.673469387755102,0.6799999999999999,1.018477439880371
"0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0",0.68,0.755,0.69875,0.6956521739130435,0.64,0.6666666666666666,0.6799999999999999,0.928654670715332
"0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0",0.68,0.755,0.69875,0.6956521739130435,0.64,0.6666666666666666,0.6799999999999999,0.956965446472168
"0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1",0.69,0.72,0.6975,0.6696428571428571,0.75,0.7075471698113207,0.69,0.9834098815917969
"1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0",0.7,0.69,0.6974999999999999,0.6639344262295082,0.81,0.7297297297297297,0.7,1.0204441547393799
"0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0",0.675,0.76,0.69625,0.6804123711340206,0.66,0.6700507614213198,0.675,0.9278469085693359
"0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0",0.675,0.76,0.69625,0.6804123711340206,0.66,0.6700507614213198,0.675,0.9912402629852295
"0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1",0.67,0.775,0.69625,0.6666666666666666,0.68,0.6732673267326733,0.67,1.0098309516906738
